Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
148,-0.061,-0.004,-0.114,0.137,-0.08,-0.106,0.042,0.107,0.004,0.099,0.021,-0.037,-0.074,-0.093,-0.009,0.073,-0.006
149,0.007,0.132,-0.094,0.149,0.123,0.084,-0.121,0.105,0.023,0.145,-0.057,-0.118,-0.025,0.071,-0.057,-0.032,0.021
150,-0.06,-0.07,0.097,-0.02,0.137,0.032,-0.005,-0.012,-0.128,-0.046,0.077,0.098,0.036,-0.103,-0.007,-0.121,-0.006
151,-0.09,0.088,-0.028,-0.047,0.136,-0.007,0.144,-0.005,0.074,0.115,0.071,-0.001,0.108,0.053,0.042,-0.019,0.04
152,0.044,-0.06,-0.08,0.005,0.031,-0.104,-0.013,-0.042,-0.106,0.019,-0.067,-0.107,0.029,-0.031,-0.013,0.126,-0.023
153,-0.056,0.036,-0.085,0.136,-0.049,-0.038,-0.052,-0.114,0.028,0.033,0.023,-0.055,0.095,-0.1,0.048,-0.013,-0.01
154,-0.052,-0.026,-0.059,0.072,0.11,0.121,0.133,-0.085,0.088,0.005,0.085,0.066,-0.007,-0.052,-0.094,-0.071,0.015
155,-0.008,0.073,-0.077,0.093,-0.082,-0.109,0.091,-0.056,0.115,-0.027,-0.024,0.053,0.118,-0.087,-0.118,0.1,0.003
156,0.01,0.046,-0.059,0.112,-0.044,-0.115,-0.058,-0.043,0.102,0.076,-0.083,-0.081,0.142,0.054,-0.037,0.077,0.006
157,-0.095,-0.049,-0.07,-0.015,-0.068,0.042,0.075,0.069,0.077,0.136,0.021,0.129,-0.079,0.078,0.107,0.147,0.032
158,-0.056,-0.068,0.085,-0.017,-0.088,0.057,0.108,-0.017,0.008,-0.108,-0.118,0.055,-0.085,0.123,-0.056,0.075,-0.006
159,-0.118,0.021,0.082,0.094,0.138,-0.016,0.062,-0.07,-0.052,0.001,0.119,-0.009,-0.117,0.006,0.077,0.048,0.017
160,0.047,0.014,-0.024,-0.04,-0.098,0.097,-0.035,-0.115,-0.026,0.022,-0.106,0.112,-0.061,0.095,0.004,0.139,0.002
161,0.155,-0.096,-0.11,0.042,-0.024,0.079,0.137,0.085,0.104,0.003,0.057,-0.081,-0.064,0.137,0.03,0.076,0.033
162,-0.089,0.073,-0.002,0.112,0.021,0.149,0.032,-0.118,0.164,0.004,0.145,0.068,0.002,0.119,-0.011,-0.11,0.035
163,-0.079,0.038,-0.141,0.101,0.002,-0.145,-0.048,0,0.004,0.178,-0.128,-0.118,0.181,-0.073,0.091,-0.117,-0.016
164,0.051,0.097,-0.024,0.08,0.03,-0.042,0.052,0.025,0.171,-0.096,-0.025,-0.111,0.114,0.143,0.153,0.105,0.045
165,0.13,0.055,0.046,0.069,-0.095,0.082,0.04,-0.007,0.166,0.18,0.144,0.043,0.051,0.03,-0.039,0.1,0.062
166,-0.041,-0.097,0.09,-0.13,-0.12,0.144,-0.133,-0.106,0.169,0.032,0.135,-0.013,0.12,0.181,0.035,-0.091,0.011
167,-0.073,0.091,0.056,-0.011,0.103,-0.108,0.174,-0.027,0.164,0.061,-0.074,-0.08,0.084,-0.021,0.148,-0.075,0.026
168,0.159,0.122,0.073,-0.113,0.019,-0.007,-0.107,0.152,0.041,0.117,0.146,0.053,-0.146,-0.017,0.152,0.027,0.042
169,0.139,0.131,0.13,-0.055,0.008,0.126,0.106,-0.009,0.173,-0.012,0.096,0.033,0.119,-0.133,0.162,-0.037,0.061
170,0.181,0.153,-0.133,0.15,0.011,-0.116,-0.045,0.13,-0.14,0.052,-0.118,0.047,0.055,0.086,-0.041,-0.149,0.008
